STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000005;;500,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000007;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000097;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000131;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000188;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000275;;2568,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000339;;35,70;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000328;;66,30;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000373;;314,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000391;;132,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000422;;61,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000423;;806,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000448;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000518;;273,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000524;;58,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000529;;220,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000601;;58,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000668;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000681;;120,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000737;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000759;;32,30;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000807;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000851;;76,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000873;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000881;;99,90;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000886;;37,40;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000910;;130,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000951;;61,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000957;;47,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000980;;81,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14000993;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001099;;73,10;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001168;;3,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001258;;146,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001291;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001320;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001306;;117,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001359;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001368;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001732;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001745;;74,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001801;;122,70;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001810;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001820;;37,40;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001834;;58,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001885;;3,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001910;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001932;;35,70;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14001931;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002020;;2455,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002060;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002071;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002155;;7,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002154;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002232;;52,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002277;;73,10;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002301;;40,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002369;;2156,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002381;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002392;;34,90;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002400;;81,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002429;;658,00;CEBOOBA;
