STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007728;;599,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;0,86;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;4,32;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007652;;829,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;1,19;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;5,98;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007640;;1198,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;1,72;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;8,63;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007631;;399,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;0,77;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;3,87;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007611;;607,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;0,87;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;4,37;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007429;;1316,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;1,89;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;9,48;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007262;;1198,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;1,72;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;8,63;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14007208;;599,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;0,86;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;4,32;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14006719;;901,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;3,73;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;18,66;;AC;ST-CT00-XX
DLM;15/04/2026;580010DS5;;ALMA 08-04-2026;14005301;;658,00;AC;
DLM;15/04/2026;445660;;ALMA 08-04-2026;TVA ALMA 08-04-2026;0,94;;AC;
DLM;15/04/2026;627800;;ALMA 08-04-2026;Frais ALMA 08-04-2026;4,74;;AC;ST-CT00-XX
DLM;15/04/2026;512120;;ALMA 08-04-2026;ALMA 08-04-2026;8216,45;;AC;
